id,product,category,amount,sale_date,quantity,customer_id,store_location
1707,"Art Book",Books,835.42,2023-02-07,6,52,Miami
1708,Smartwatch,Electronics,109.51,2023-04-16,6,103,"Los Angeles"
1709,"Science Book",Books,143.75,2023-03-31,1,391,Houston
1710,"Table Lamp",Furniture,576.99,2023-02-26,9,124,Houston
1711,"Action Figure",Toys,366.13,2023-02-13,1,386,Chicago
1712,Jacket,Clothing,357.27,2023-03-30,4,228,"New York"
1713,Wardrobe,Furniture,404.50,2023-04-10,6,47,Miami
1714,"Board Game",Toys,472.32,2023-04-23,8,357,Chicago
1715,Doll,Toys,57.41,2023-02-05,9,230,Miami
1716,"Action Figure",Toys,661.53,2023-01-05,2,324,Miami
1717,Speaker,Electronics,446.72,2023-03-22,9,45,Houston
1718,"Fiction Book",Books,59.06,2023-02-13,1,219,"New York"
1719,Keyboard,Electronics,780.14,2023-04-14,6,472,"New York"
1720,"Non-fiction Book",Books,556.97,2023-05-10,10,248,Houston
1721,"Board Game",Toys,821.16,2023-04-14,5,189,Houston
1722,"Remote Control Car",Toys,797.78,2023-02-03,6,80,"New York"
1723,Chair,Furniture,574.24,2023-04-11,1,338,"New York"
1724,"Science Book",Books,958.69,2023-03-12,1,147,"New York"
1725,Smartwatch,Electronics,44.24,2023-03-01,6,291,"Los Angeles"
1726,Monitor,Electronics,333.21,2023-05-10,6,397,"New York"
1727,"Science Book",Books,501.77,2023-01-19,1,391,Miami
1728,"Remote Control Car",Toys,201.93,2023-01-10,7,97,Miami
1729,Speaker,Electronics,357.07,2023-06-08,4,482,Miami
1730,Dress,Clothing,85.54,2023-01-08,10,313,"Los Angeles"
1731,Jacket,Clothing,719.24,2023-05-03,3,86,"New York"
1732,Tablet,Electronics,822.37,2023-03-13,6,177,"Los Angeles"
1733,Smartphone,Electronics,761.64,2023-05-02,1,188,Houston
1734,Keyboard,Electronics,157.16,2023-03-04,3,126,Chicago
1735,"Art Book",Books,435.90,2023-04-03,3,393,"New York"
1736,Desk,Furniture,440.61,2023-01-04,8,380,Chicago
1737,Wardrobe,Furniture,575.67,2023-02-09,4,104,Miami
1738,"Remote Control Car",Toys,941.52,2023-06-04,5,362,"Los Angeles"
1739,Keyboard,Electronics,147.01,2023-03-11,5,128,Miami
1740,Bed,Furniture,140.84,2023-02-26,2,408,Houston
1741,"Science Book",Books,149.62,2023-03-27,10,106,"Los Angeles"
1742,"Art Book",Books,250.16,2023-04-11,1,281,Houston
1743,"Fiction Book",Books,452.13,2023-01-19,2,216,Houston
1744,Sofa,Furniture,227.83,2023-04-04,10,4,"Los Angeles"
1745,Dress,Clothing,980.48,2023-03-24,4,169,Houston
1746,"Table Lamp",Furniture,631.13,2023-04-26,4,309,"New York"
1747,Doll,Toys,665.75,2023-03-14,1,445,"Los Angeles"
1748,Chair,Furniture,116.59,2023-01-05,8,431,Miami
1749,Headphones,Electronics,562.63,2023-03-24,6,297,"New York"
1750,Laptop,Electronics,491.28,2023-06-10,10,154,Chicago
1751,"Non-fiction Book",Books,51.91,2023-03-18,10,287,Miami
1752,Keyboard,Electronics,52.35,2023-06-14,5,180,Chicago
1753,Jeans,Clothing,939.77,2023-05-02,6,392,"Los Angeles"
1754,"Non-fiction Book",Books,13.80,2023-02-12,2,469,"Los Angeles"
1755,"Science Book",Books,551.35,2023-02-05,4,28,"Los Angeles"
1756,Bed,Furniture,558.90,2023-03-10,3,498,"Los Angeles"
1757,Dress,Clothing,36.15,2023-05-08,5,12,Miami
1758,Camera,Electronics,879.32,2023-06-23,2,39,Houston
1759,"Non-fiction Book",Books,632.17,2023-01-05,3,33,Houston
1760,"Action Figure",Toys,303.49,2023-03-04,9,38,Miami
1761,Wardrobe,Furniture,251.87,2023-05-15,10,322,"Los Angeles"
1762,Jacket,Clothing,536.64,2023-06-08,8,137,"New York"
1763,Bookshelf,Furniture,77.92,2023-02-09,9,315,Chicago
1764,"Action Figure",Toys,34.05,2023-04-15,8,113,Houston
1765,Laptop,Electronics,419.72,2023-05-08,3,156,Houston
1766,Dress,Clothing,969.88,2023-03-03,9,494,Chicago
1767,"History Book",Books,604.49,2023-06-07,6,118,Chicago
1768,Dress,Clothing,531.67,2023-03-01,1,155,"Los Angeles"
1769,Doll,Toys,202.03,2023-06-08,8,164,"Los Angeles"
1770,"Coffee Table",Furniture,781.71,2023-05-06,2,303,Houston
1771,Sofa,Furniture,817.46,2023-02-04,6,492,"Los Angeles"
1772,Puzzle,Toys,230.60,2023-02-24,9,88,Chicago
1773,"History Book",Books,876.14,2023-01-31,3,306,"Los Angeles"
1774,Laptop,Electronics,726.44,2023-01-15,3,440,Houston
1775,Puzzle,Toys,332.38,2023-05-13,7,91,Miami
1776,"Board Game",Toys,1.60,2023-04-05,7,279,Miami
1777,"Board Game",Toys,855.15,2023-06-04,8,45,"Los Angeles"
1778,"Action Figure",Toys,424.96,2023-06-19,5,184,Chicago
1779,Shoes,Clothing,248.91,2023-03-12,3,419,Chicago
1780,Sofa,Furniture,979.18,2023-02-05,1,321,"New York"
1781,Shoes,Clothing,152.28,2023-01-22,2,169,"Los Angeles"
1782,Wardrobe,Furniture,413.88,2023-03-15,9,406,Houston
1783,"History Book",Books,32.08,2023-02-20,3,329,"Los Angeles"
1784,Puzzle,Toys,836.61,2023-06-12,1,171,Houston
1785,Dresser,Furniture,461.34,2023-02-08,7,363,Houston
1786,"Board Game",Toys,188.24,2023-02-14,7,280,Miami
1787,Jacket,Clothing,928.67,2023-05-12,9,88,"Los Angeles"
1788,"Art Book",Books,675.88,2023-03-18,1,86,Chicago
1789,Dress,Clothing,780.64,2023-04-27,9,260,Miami
1790,Keyboard,Electronics,248.72,2023-05-26,3,10,"Los Angeles"
1791,Camera,Electronics,18.16,2023-03-26,4,54,Houston
1792,"Fiction Book",Books,909.63,2023-03-12,3,7,"Los Angeles"
1793,"Science Book",Books,608.20,2023-03-09,1,64,Chicago
1794,Headphones,Electronics,673.23,2023-01-16,5,383,Houston
1795,"Art Book",Books,487.70,2023-04-16,5,278,"Los Angeles"
1796,Chair,Furniture,178.27,2023-02-23,10,404,"Los Angeles"
1797,"Art Book",Books,985.62,2023-03-28,5,398,Houston
1798,"Art Book",Books,409.71,2023-02-10,9,385,"New York"
1799,"Science Book",Books,654.46,2023-05-21,10,201,"New York"
1800,Jeans,Clothing,36.31,2023-01-28,7,400,"New York"
1801,"Art Book",Books,6.69,2023-03-12,10,243,Houston
1802,"History Book",Books,154.74,2023-05-24,6,136,Houston
1803,"Board Game",Toys,538.95,2023-02-18,8,412,Miami
1804,Sofa,Furniture,684.62,2023-04-23,1,240,"New York"
1805,Shoes,Clothing,839.47,2023-04-23,7,97,"New York"
1806,Headphones,Electronics,572.59,2023-05-05,8,303,Miami
1807,Wardrobe,Furniture,585.74,2023-02-24,8,422,Miami
1808,Dresser,Furniture,365.11,2023-06-01,2,26,Miami
1809,Jeans,Clothing,277.47,2023-03-29,7,277,Miami
1810,Camera,Electronics,694.11,2023-01-01,10,297,"Los Angeles"
1811,"Coffee Table",Furniture,785.56,2023-05-19,5,89,"Los Angeles"
1812,T-shirt,Clothing,729.07,2023-04-22,10,340,Houston
1813,Dresser,Furniture,329.85,2023-04-26,3,75,"New York"
1814,Smartphone,Electronics,141.64,2023-03-28,10,242,Chicago
1815,Puzzle,Toys,224.90,2023-06-14,10,380,"New York"
1816,"Coffee Table",Furniture,981.60,2023-05-17,9,467,"New York"
1817,"Action Figure",Toys,834.10,2023-05-31,7,462,Chicago
1818,Doll,Toys,273.43,2023-04-26,4,30,"New York"
1819,Bookshelf,Furniture,868.59,2023-02-08,5,352,"New York"
1820,Shoes,Clothing,763.84,2023-03-12,7,108,"New York"
1821,Dress,Clothing,16.05,2023-04-06,6,194,"New York"
1822,Dress,Clothing,636.23,2023-05-15,9,440,Miami
1823,Doll,Toys,60.32,2023-05-01,2,389,Chicago
1824,"History Book",Books,716.87,2023-05-17,7,482,Miami
1825,Jacket,Clothing,297.70,2023-02-16,5,128,"New York"
1826,Jeans,Clothing,959.98,2023-06-20,9,228,Houston
1827,Keyboard,Electronics,107.15,2023-01-12,10,387,Miami
1828,Speaker,Electronics,277.55,2023-04-20,3,126,Houston
1829,"Table Lamp",Furniture,96.49,2023-05-10,3,166,Houston
1830,"Remote Control Car",Toys,747.98,2023-02-06,8,107,Houston
1831,Wardrobe,Furniture,568.63,2023-02-19,7,282,Houston
1832,Smartwatch,Electronics,724.63,2023-04-24,10,489,Miami
1833,Puzzle,Toys,331.48,2023-05-31,2,211,Chicago
1834,Jacket,Clothing,327.59,2023-03-09,10,196,"Los Angeles"
1835,Keyboard,Electronics,12.94,2023-05-26,10,277,Houston
1836,Nightstand,Furniture,933.50,2023-06-01,5,257,"Los Angeles"
1837,Speaker,Electronics,955.50,2023-01-12,5,49,"New York"
1838,Desk,Furniture,231.99,2023-01-25,10,264,Houston
1839,"Art Book",Books,807.78,2023-04-14,5,284,Chicago
1840,Dress,Clothing,944.80,2023-01-20,8,131,"New York"
1841,"Board Game",Toys,286.77,2023-01-18,7,400,"New York"
1842,Chair,Furniture,942.77,2023-01-31,1,267,Houston
1843,"Fiction Book",Books,47.31,2023-05-04,3,192,"New York"
1844,Keyboard,Electronics,846.42,2023-06-13,10,120,"Los Angeles"
1845,Sofa,Furniture,110.06,2023-05-24,7,437,Chicago
1846,Shoes,Clothing,154.50,2023-01-22,2,169,"Los Angeles"
1847,"Coffee Table",Furniture,861.59,2023-01-06,6,400,"Los Angeles"
1848,Puzzle,Toys,837.19,2023-01-13,9,491,"Los Angeles"
1849,Camera,Electronics,270.53,2023-05-21,1,64,"Los Angeles"
1850,"Coffee Table",Furniture,788.00,2023-04-21,7,316,"New York"
1851,Jeans,Clothing,756.72,2023-01-07,10,212,"Los Angeles"
1852,"Non-fiction Book",Books,760.61,2023-04-30,1,74,Houston
1853,"Action Figure",Toys,450.20,2023-05-04,1,181,Chicago
1854,"History Book",Books,268.72,2023-03-13,2,355,"New York"
1855,"Board Game",Toys,806.14,2023-04-04,2,156,"New York"
1856,Chair,Furniture,837.87,2023-06-02,8,37,"New York"
1857,"Non-fiction Book",Books,0.84,2023-02-08,1,354,"Los Angeles"
1858,Dress,Clothing,423.22,2023-03-02,5,5,Miami
1859,Monitor,Electronics,119.86,2023-04-23,8,463,"Los Angeles"
1860,"Remote Control Car",Toys,159.68,2023-03-05,3,162,Houston
1861,"Board Game",Toys,938.16,2023-06-19,9,326,Chicago
1862,Puzzle,Toys,270.39,2023-06-23,1,104,Miami
1863,Chair,Furniture,266.52,2023-05-21,2,107,Houston
1864,Camera,Electronics,102.14,2023-01-09,10,261,Miami
1865,Shoes,Clothing,135.47,2023-06-22,4,47,"Los Angeles"
1866,Headphones,Electronics,486.73,2023-01-22,2,188,Chicago
1867,Headphones,Electronics,918.72,2023-02-08,4,478,Miami
1868,"Table Lamp",Furniture,219.13,2023-03-14,4,292,Miami
1869,Jacket,Clothing,3.50,2023-01-07,2,353,"New York"
1870,Monitor,Electronics,258.80,2023-03-11,2,315,Houston
1871,Jeans,Clothing,924.24,2023-06-03,5,464,"New York"
1872,Doll,Toys,415.17,2023-03-03,5,171,"Los Angeles"
1873,Desk,Furniture,3.05,2023-06-19,8,361,Chicago
1874,"Table Lamp",Furniture,357.83,2023-01-02,10,428,"Los Angeles"
1875,Smartwatch,Electronics,916.64,2023-04-16,2,78,"Los Angeles"
1876,"History Book",Books,320.72,2023-04-20,1,265,Chicago
1877,Jacket,Clothing,495.35,2023-04-03,1,431,"New York"
1878,"Science Book",Books,177.50,2023-03-25,8,251,"New York"
1879,Sofa,Furniture,203.47,2023-02-16,7,331,"Los Angeles"
1880,Bed,Furniture,448.45,2023-06-22,5,155,"Los Angeles"
1881,"Table Lamp",Furniture,9.96,2023-03-12,10,222,Chicago
1882,Doll,Toys,308.75,2023-06-15,7,300,Miami
1883,Smartwatch,Electronics,706.73,2023-05-08,5,17,Miami
1884,"Table Lamp",Furniture,114.85,2023-06-09,1,400,Houston
1885,Headphones,Electronics,264.74,2023-01-07,4,434,"New York"
1886,Laptop,Electronics,571.69,2023-02-22,8,411,Miami
1887,Doll,Toys,96.10,2023-06-06,1,372,Chicago
1888,Wardrobe,Furniture,633.86,2023-03-29,6,75,"New York"
1889,Jacket,Clothing,279.13,2023-02-08,3,243,Houston
1890,Sofa,Furniture,478.63,2023-04-10,4,485,Miami
1891,Dress,Clothing,536.25,2023-06-25,3,231,Chicago
1892,"Board Game",Toys,434.17,2023-05-15,5,484,Chicago
1893,"History Book",Books,281.06,2023-04-01,7,407,"New York"
1894,"Board Game",Toys,684.59,2023-06-13,5,334,Miami
1895,Shoes,Clothing,57.49,2023-03-31,4,62,Houston
1896,Doll,Toys,579.60,2023-02-17,6,68,Miami
1897,Laptop,Electronics,310.87,2023-01-07,3,38,Houston
1898,Smartwatch,Electronics,672.17,2023-04-07,7,346,Chicago
1899,Chair,Furniture,688.62,2023-01-13,3,109,"Los Angeles"
1900,Shoes,Clothing,647.01,2023-05-13,8,251,"Los Angeles"
1901,Puzzle,Toys,606.69,2023-01-09,5,472,Chicago
1902,T-shirt,Clothing,632.59,2023-01-22,8,75,Houston
1903,"Art Book",Books,109.22,2023-06-14,3,204,"Los Angeles"
1904,Jacket,Clothing,674.36,2023-03-11,10,203,"Los Angeles"
1905,Sofa,Furniture,485.53,2023-05-15,3,50,Houston
1906,Camera,Electronics,626.85,2023-04-23,3,170,Miami
1907,"Action Figure",Toys,286.67,2023-01-02,2,448,Miami
1908,"Remote Control Car",Toys,493.19,2023-06-13,1,286,Houston
1909,"Non-fiction Book",Books,515.49,2023-05-01,9,4,Houston
1910,Smartwatch,Electronics,774.39,2023-01-07,9,62,"New York"
1911,Camera,Electronics,252.23,2023-05-02,7,51,Houston
1912,"Action Figure",Toys,527.99,2023-01-12,8,217,Miami
1913,"Science Book",Books,239.50,2023-05-26,4,97,Miami
1914,Desk,Furniture,830.07,2023-01-25,2,261,"New York"
1915,"Non-fiction Book",Books,195.79,2023-02-13,7,183,Miami
1916,"Art Book",Books,557.04,2023-06-01,6,109,Chicago
1917,Jeans,Clothing,876.04,2023-04-05,10,192,Miami
1918,Shoes,Clothing,126.25,2023-05-16,4,349,"Los Angeles"
1919,Jeans,Clothing,376.52,2023-05-31,1,387,Houston
1920,Smartwatch,Electronics,855.21,2023-02-23,10,350,Houston
1921,Jacket,Clothing,978.93,2023-04-26,3,204,"Los Angeles"
1922,"Action Figure",Toys,404.22,2023-06-06,2,14,Houston
1923,"Non-fiction Book",Books,354.43,2023-06-06,3,420,"Los Angeles"
1924,Smartwatch,Electronics,708.18,2023-05-07,4,403,Miami
1925,Doll,Toys,648.73,2023-02-17,4,39,"Los Angeles"
1926,Mouse,Electronics,687.27,2023-05-05,5,479,Chicago
1927,"Remote Control Car",Toys,170.78,2023-06-06,9,254,"New York"
1928,"Remote Control Car",Toys,63.28,2023-04-18,9,109,Houston
1929,"History Book",Books,332.59,2023-04-02,6,109,Chicago
1930,Jeans,Clothing,958.93,2023-06-08,6,500,Chicago
1931,Smartphone,Electronics,184.24,2023-05-06,10,306,"Los Angeles"
1932,Wardrobe,Furniture,541.06,2023-01-02,5,36,"New York"
1933,Chair,Furniture,810.47,2023-04-27,9,63,"New York"
1934,T-shirt,Clothing,679.65,2023-02-17,3,289,"New York"
1935,"Art Book",Books,448.61,2023-05-01,1,11,"New York"
1936,"Table Lamp",Furniture,832.12,2023-03-13,5,115,Houston
1937,"Art Book",Books,893.74,2023-06-14,9,370,"New York"
1938,"Action Figure",Toys,784.80,2023-05-23,6,307,"Los Angeles"
1939,Jacket,Clothing,321.06,2023-02-20,5,188,Chicago
1940,"Non-fiction Book",Books,76.01,2023-02-14,1,171,Houston
1941,Chair,Furniture,276.62,2023-05-26,2,290,"Los Angeles"
1942,"Art Book",Books,820.90,2023-05-03,10,358,Houston
1943,T-shirt,Clothing,720.63,2023-04-18,9,179,"Los Angeles"
1944,T-shirt,Clothing,623.95,2023-04-19,2,445,"New York"
1945,Jeans,Clothing,901.04,2023-05-10,10,178,"New York"
1946,Desk,Furniture,385.45,2023-06-05,2,98,Chicago
1947,Doll,Toys,188.48,2023-03-01,1,209,Miami
1948,Doll,Toys,391.52,2023-02-06,9,308,Chicago
1949,"Board Game",Toys,345.33,2023-01-03,1,83,Houston
1950,"Remote Control Car",Toys,94.17,2023-01-10,10,399,"New York"
1951,"Fiction Book",Books,57.70,2023-05-06,4,217,"Los Angeles"
1952,"Action Figure",Toys,568.66,2023-04-10,1,314,Miami
1953,Puzzle,Toys,18.56,2023-05-26,10,260,Houston
1954,Shoes,Clothing,94.66,2023-04-18,8,360,Chicago
1955,Desk,Furniture,144.60,2023-05-07,1,158,"Los Angeles"
1956,"Non-fiction Book",Books,338.35,2023-06-18,7,258,Chicago
1957,Chair,Furniture,465.85,2023-06-25,5,248,"New York"
1958,"Art Book",Books,42.50,2023-02-23,4,463,Chicago
1959,"Remote Control Car",Toys,717.50,2023-06-19,6,483,"New York"
1960,Puzzle,Toys,307.52,2023-02-12,3,319,"Los Angeles"
1961,Puzzle,Toys,740.60,2023-04-02,4,31,"Los Angeles"
1962,Shoes,Clothing,545.99,2023-01-28,2,72,"Los Angeles"
1963,"Coffee Table",Furniture,538.42,2023-04-04,10,206,"New York"
1964,Monitor,Electronics,406.18,2023-06-27,8,319,"New York"
1965,Nightstand,Furniture,128.76,2023-05-25,7,348,Houston
1966,"Action Figure",Toys,397.71,2023-05-22,8,135,"New York"
1967,Camera,Electronics,12.46,2023-04-04,6,108,Chicago
1968,Shoes,Clothing,398.64,2023-01-30,7,311,"Los Angeles"
1969,Nightstand,Furniture,713.30,2023-05-14,6,304,"Los Angeles"
1970,Doll,Toys,829.92,2023-02-25,1,168,Chicago
1971,Jeans,Clothing,887.51,2023-03-27,8,46,"Los Angeles"
1972,Jeans,Clothing,313.81,2023-04-03,7,314,"Los Angeles"
1973,Dresser,Furniture,633.79,2023-01-16,6,223,Chicago
1974,"Science Book",Books,447.01,2023-05-22,6,307,"Los Angeles"
1975,T-shirt,Clothing,365.07,2023-05-20,8,286,Chicago
1976,"Remote Control Car",Toys,577.03,2023-03-05,1,79,Houston
1977,"Art Book",Books,466.49,2023-03-21,9,376,"Los Angeles"
1978,Bed,Furniture,492.84,2023-01-13,9,87,"Los Angeles"
1979,"Science Book",Books,759.13,2023-02-01,6,213,"Los Angeles"
1980,Dress,Clothing,152.39,2023-01-23,2,231,Miami
1981,"History Book",Books,888.90,2023-01-31,2,213,Chicago
1982,Shoes,Clothing,121.85,2023-05-23,7,326,Chicago
1983,"Coffee Table",Furniture,974.62,2023-05-11,8,176,Houston
1984,Camera,Electronics,642.25,2023-05-17,9,43,Miami
1985,"Science Book",Books,177.32,2023-03-07,3,176,Miami
1986,Sofa,Furniture,173.10,2023-01-13,9,443,Miami
1987,Smartphone,Electronics,754.30,2023-04-13,6,82,"New York"
1988,Headphones,Electronics,671.82,2023-01-26,7,25,"New York"
1989,"Art Book",Books,257.29,2023-05-12,9,82,"Los Angeles"
1990,T-shirt,Clothing,913.49,2023-02-12,5,243,"New York"
1991,Smartphone,Electronics,171.79,2023-04-20,6,431,Houston
1992,Doll,Toys,915.70,2023-04-27,6,278,"Los Angeles"
1993,"History Book",Books,365.58,2023-05-14,7,427,Chicago
1994,Dress,Clothing,417.35,2023-06-08,2,47,"New York"
1995,"Action Figure",Toys,151.77,2023-03-05,4,250,Chicago
1996,Wardrobe,Furniture,465.14,2023-05-03,1,11,"New York"
1997,Desk,Furniture,673.99,2023-01-19,6,103,Chicago
1998,"Action Figure",Toys,140.71,2023-01-21,2,213,Houston
1999,Tablet,Electronics,992.84,2023-02-22,5,253,"New York"
2000,"Board Game",Toys,855.24,2023-04-22,6,410,Chicago
2001,Doll,Toys,875.65,2023-02-28,10,9,"New York"
2002,Dresser,Furniture,294.39,2023-03-12,1,83,Houston
2003,"Non-fiction Book",Books,257.75,2023-04-22,4,409,"New York"
2004,Doll,Toys,44.92,2023-01-27,7,312,"Los Angeles"
2005,Jacket,Clothing,921.16,2023-04-09,10,140,Chicago
2006,Bed,Furniture,6.45,2023-05-27,1,377,Houston
2007,Laptop,Electronics,553.55,2023-03-14,4,290,Miami
2008,Bookshelf,Furniture,596.78,2023-06-26,2,319,Miami
2009,Wardrobe,Furniture,418.92,2023-04-10,6,466,"New York"
2010,"Fiction Book",Books,520.72,2023-02-18,8,62,"Los Angeles"
2011,Puzzle,Toys,129.41,2023-03-02,3,233,Chicago
2012,"History Book",Books,798.79,2023-01-18,1,65,"Los Angeles"
2013,Jacket,Clothing,2.91,2023-05-16,8,286,Chicago
2014,Mouse,Electronics,611.00,2023-03-17,3,15,"Los Angeles"
2015,"Art Book",Books,869.47,2023-05-23,4,191,Miami
2016,Speaker,Electronics,507.02,2023-04-27,8,325,"New York"
2017,Jeans,Clothing,603.17,2023-03-06,10,430,"Los Angeles"
2018,Keyboard,Electronics,814.78,2023-05-31,8,117,Miami
2019,"Board Game",Toys,353.64,2023-06-29,10,327,Chicago
2020,Jacket,Clothing,205.06,2023-06-18,1,265,Chicago
2021,"History Book",Books,841.31,2023-01-01,5,225,Houston
2022,Jeans,Clothing,535.93,2023-01-10,7,39,Chicago
2023,Headphones,Electronics,551.39,2023-04-19,4,494,Miami
2024,Chair,Furniture,513.91,2023-02-15,8,449,"Los Angeles"
2025,"Art Book",Books,436.84,2023-03-04,5,39,"New York"
2026,Bed,Furniture,4.61,2023-05-22,10,104,"Los Angeles"
2027,"Board Game",Toys,477.80,2023-01-28,4,116,"New York"
2028,Smartwatch,Electronics,163.43,2023-06-11,10,125,"Los Angeles"
2029,"Science Book",Books,441.64,2023-05-14,4,349,"Los Angeles"
2030,Shoes,Clothing,478.17,2023-06-09,10,154,Chicago
2031,Puzzle,Toys,457.06,2023-03-27,1,297,Miami
2032,"Action Figure",Toys,354.05,2023-04-16,9,308,Chicago
2033,"Table Lamp",Furniture,699.58,2023-05-23,9,483,"Los Angeles"
2034,Tablet,Electronics,724.39,2023-06-05,2,82,"Los Angeles"
2035,Bed,Furniture,417.31,2023-05-03,2,338,Miami
2036,"History Book",Books,393.74,2023-06-04,2,472,Chicago
2037,"Coffee Table",Furniture,319.42,2023-02-14,3,301,"Los Angeles"
2038,Bed,Furniture,597.37,2023-04-27,5,159,"Los Angeles"
2039,Tablet,Electronics,645.81,2023-04-02,7,267,Miami
2040,T-shirt,Clothing,270.03,2023-05-31,4,158,Chicago
2041,Shoes,Clothing,815.01,2023-04-13,4,129,"New York"
2042,"Science Book",Books,334.85,2023-01-16,5,434,"New York"
2043,"Non-fiction Book",Books,661.75,2023-02-12,2,130,Houston
2044,"Art Book",Books,647.76,2023-05-30,3,290,"Los Angeles"
2045,Shoes,Clothing,921.85,2023-06-11,8,436,"Los Angeles"
2046,Jacket,Clothing,484.92,2023-01-10,8,417,Houston
2047,"Table Lamp",Furniture,753.83,2023-01-06,9,172,"New York"
2048,Chair,Furniture,810.86,2023-05-07,1,157,"Los Angeles"
2049,"Fiction Book",Books,955.20,2023-02-21,6,498,"Los Angeles"
2050,Wardrobe,Furniture,349.53,2023-01-26,7,419,"Los Angeles"
2051,"Science Book",Books,2.10,2023-02-09,1,415,Miami
2052,"Non-fiction Book",Books,33.73,2023-03-09,8,375,Chicago
2053,"Remote Control Car",Toys,269.09,2023-03-26,6,128,Houston
2054,"Fiction Book",Books,767.02,2023-03-19,9,2,Chicago
2055,Keyboard,Electronics,994.64,2023-03-30,5,437,Miami
2056,Speaker,Electronics,95.14,2023-05-14,5,424,Miami
2057,T-shirt,Clothing,562.58,2023-02-24,9,82,"Los Angeles"
2058,Shoes,Clothing,201.69,2023-03-06,2,454,Miami
2059,Laptop,Electronics,863.34,2023-05-24,4,277,Chicago
2060,Wardrobe,Furniture,417.02,2023-03-19,9,98,"Los Angeles"
2061,"Board Game",Toys,510.90,2023-02-25,10,37,"Los Angeles"
2062,"Fiction Book",Books,173.46,2023-06-01,7,471,Houston
2063,"Table Lamp",Furniture,962.72,2023-01-22,8,119,"New York"
2064,Shoes,Clothing,740.84,2023-05-09,4,292,Miami
2065,"History Book",Books,266.98,2023-03-12,2,278,"Los Angeles"
2066,Laptop,Electronics,707.83,2023-01-09,2,222,Miami
2067,Doll,Toys,513.53,2023-05-08,10,429,"Los Angeles"
2068,Puzzle,Toys,769.11,2023-05-11,4,237,"Los Angeles"
2069,T-shirt,Clothing,357.88,2023-03-06,8,252,"Los Angeles"
2070,"Table Lamp",Furniture,954.16,2023-06-27,1,169,Chicago
2071,Jeans,Clothing,626.88,2023-03-04,9,123,Houston
2072,Jacket,Clothing,130.21,2023-03-12,6,346,Houston
2073,"Art Book",Books,296.81,2023-01-03,2,432,Houston
2074,Desk,Furniture,521.77,2023-03-12,5,424,"New York"
2075,Jacket,Clothing,868.38,2023-02-10,6,480,"Los Angeles"
2076,Tablet,Electronics,912.61,2023-05-03,7,131,"Los Angeles"
2077,Doll,Toys,668.85,2023-04-23,2,364,"Los Angeles"
2078,Smartphone,Electronics,938.19,2023-03-13,2,345,Miami
2079,Shoes,Clothing,554.82,2023-02-26,10,322,Chicago
2080,"Table Lamp",Furniture,531.91,2023-01-09,7,20,"Los Angeles"
2081,Dresser,Furniture,509.13,2023-03-29,10,25,Chicago
2082,Jeans,Clothing,439.61,2023-04-01,2,235,Houston
2083,Dresser,Furniture,99.67,2023-04-09,5,248,"New York"
2084,Shoes,Clothing,986.41,2023-02-14,3,307,"Los Angeles"
2085,Dress,Clothing,950.38,2023-03-10,1,41,"Los Angeles"
2086,Camera,Electronics,974.02,2023-02-11,3,214,Chicago
2087,Camera,Electronics,32.02,2023-04-29,2,1,Chicago
2088,Tablet,Electronics,121.67,2023-05-12,3,148,Chicago
2089,Doll,Toys,277.94,2023-04-24,4,345,Chicago
2090,Jacket,Clothing,27.61,2023-01-26,7,349,Houston
2091,"Remote Control Car",Toys,949.14,2023-06-03,5,237,"New York"
2092,Chair,Furniture,973.21,2023-02-22,6,415,Chicago
2093,Smartphone,Electronics,799.54,2023-06-12,2,448,"New York"
2094,"Remote Control Car",Toys,148.77,2023-06-15,2,7,Houston
2095,"Action Figure",Toys,499.74,2023-02-12,7,332,"Los Angeles"
2096,Dress,Clothing,53.67,2023-05-21,8,201,Houston
2097,Jacket,Clothing,613.62,2023-01-07,4,297,Miami
2098,"Remote Control Car",Toys,399.00,2023-03-27,2,241,Miami
2099,Puzzle,Toys,622.11,2023-02-10,3,331,Chicago
2100,T-shirt,Clothing,90.21,2023-01-09,10,322,"Los Angeles"
2101,"Action Figure",Toys,665.07,2023-02-17,4,397,"New York"
2102,"Science Book",Books,523.30,2023-01-02,5,162,"Los Angeles"
2103,Smartwatch,Electronics,138.23,2023-05-08,2,271,"Los Angeles"
2104,"Board Game",Toys,823.35,2023-04-26,8,387,Houston
2105,"Board Game",Toys,137.83,2023-06-27,6,328,Houston
2106,Jacket,Clothing,876.54,2023-02-12,6,22,Chicago
2107,"History Book",Books,609.43,2023-06-03,5,287,Chicago
2108,Bed,Furniture,450.27,2023-06-19,4,9,Miami
2109,Doll,Toys,760.38,2023-01-07,10,211,"Los Angeles"
2110,"Fiction Book",Books,514.71,2023-02-23,10,437,Chicago
2111,"Remote Control Car",Toys,171.39,2023-06-19,2,61,"New York"
2112,"Action Figure",Toys,36.35,2023-05-30,1,375,Houston
2113,"Art Book",Books,673.91,2023-03-13,10,335,Chicago
2114,Monitor,Electronics,577.61,2023-05-06,8,308,Miami
2115,Jacket,Clothing,784.44,2023-01-12,10,313,"Los Angeles"
2116,"Coffee Table",Furniture,18.72,2023-05-15,7,89,Miami
2117,"History Book",Books,679.29,2023-02-10,1,387,Chicago
